source,target
Y la otra cosa que es buena de esta technology es que sólo transfers energy a cosas que work at exactly the same frequency.,And the other thing that's pretty cool about the technology is that it only transfers energy to things that work at exactly the same frequency.
"Así que en tres años, de 2003 a 2006, pudimos poner en marcha la norma que realmente cambió el paradigma de how fishers went about deep-sea bottom trawling.","So within three years, from 2003 to 2006, we were able to get norm in place that actually changed the paradigm of how fishers went about deep-sea bottom trawling."
"Pero con el tipo de cuts we're talking about, va a ser far, far harder conseguir estos incentives for excellence, o pasar a use technology in the new way.","But with the type of cuts we're talking about, it will be far, far harder to get these incentives for excellence, or to move over to use technology in the new way."
"Y fue a través de un ejemplo similar y fascinating de algo que, in a business context or a government context, sería simplemente una solution tan simple que resulta embarrassing.","And she came across a similar example of something that fascinated me as being something which, in a business context or a government context, would simply be so trivial a solution as to seem embarrassing."
"Si cada uno de ustedes would call out a single digit between cero y nueve, ese será the four-digit number that I'll square.","If each of you would call out a single digit between zero and nine, that will be the four-digit number that I'll square."
"Como monaguillo aspiré mucho incienso y aprendí a decir frases en Latin, but I also had time to think about whether mi madre's top-down morality se aplica a todo el mundo.","As an altar boy, I breathed in a lot of incense, and I learned to say phrases in Latin, but I also had time to think about whether my mother's top-down morality applied to everybody."
Son 10 millones de calculations solo para diseñar una connection between una pieza de acero estructural y another piece of acero estructural.,"So, it's tens of millions of calculations just to design one connection between a piece of structural steel and another piece of structural steel."
"Sirvió en la Marina, y quiero tell you una pequeña historia.","He served -- -- with the Marines, and I want to tell you a little, brief story."
"En 1998, en la Universidad de Minnesota, participé en una small series de whole organ pancreas transplants.","In 1988, at the University of Minnesota, I participated in a small series of whole organ pancreas transplants."
"Pero todas esas cosas van a ser mucho más fáciles si tenemos comunidades que están vibrant and coming up with ideas y leading from the front, making unelectable policies electable en los próximos 5 a 10 años.","But all of those things are going to be much easier if we have communities that are vibrant and coming up with ideas and leading from the front, making unelectable policies electable, over the next 5 to 10 years."
"Pero también encontró muchos instances in which la gente escaped the prisoner's dilemma; en realidad, la tragedy of the commons es a multiplayer prisoner's dilemma.","But she also found many instances in which people escaped the prisoner's dilemma; in fact, the tragedy of the commons is a multiplayer prisoner's dilemma."
"Pero si reorganizamos quickly esta fórmula, we can get to que la aceleración es la fuerza sobre la masa, which means que para una partícula más grande -- a larger mass -- it requires más fuerza para cambiar su dirección.","But if we rearrange this formula quickly, we can get to acceleration equals force over mass, which means that for a larger particle -- a larger mass -- it requires more force to change its direction."
"Pero si voy a continue doing estas aventuras, tiene que haber a reason for me to do them más allá de just getting there.","But if I'm going to continue doing these adventures, there has to be a reason for me to do them beyond just getting there."
"Como body architect, me fascinate with el cuerpo humano y explore how to transformarlo.","As a body architect, I fascinate with the human body and explore how I can transform it."
"Entonces during that moment, cuando la mujer was experiencing esa empatía fingida, yo was thinking, ""Ese robot can't empathize.""","So during that moment when that woman was experiencing that pretend empathy, I was thinking, ""That robot can't empathize."
"Ambos tienen que ver con invertir en entrepreneurs who are committed to service, y que realmente know the markets.","Both of them are about investing in entrepreneurs who are committed to service, and who really know the markets."
"Traza la historia de la vida, y nos da las diferencias que vemos en el dinosaur world towards the end, right before the bolide impact.","It carves up the history of life, and gives us the differences that we see in the dinosaur world towards the end, right before the bolide impact."
"Fue a un hospital local y there they said, ""Ran, there is no possibility of us being able to save estos dedos.""","He went to a local hospital and there they said, ""Ran, there is no possibility of us being able to save these fingers."
"Eso es what's happening right now, y es un tema muy diferente del global warming issue.","That is what's happening right now, and it's a very different issue than the global warming issue."
"Por eso crear esta pieza fue great fun, porque estuve dos días excavando in soft dirt.",So this piece was great fun because it was two days of digging in soft dirt.
"Y este es el design of the bus, y puedes pay before entering al autobús en el que vas a boarding.","This is the design of the bus, and you can pay before entering the bus you're boarding."
"El IPCC dijo que we might see una ruptura significativa del hielo Ártico in 2100, in their worst case scenario.","So the IPCC said that we might see significant breakup of the arctic ice in 2100, in their worst case scenario."
"Hay docenas, quizá hundreds of estudios que muestran que if you believe you're bebiendo algo expensive le parece que it tastes better to you.","There are now dozens, perhaps hundreds of studies showing that if you believe you're drinking the expensive stuff, it tastes better to you."
"No sé si you've read or heard about los sonidos subsónicos de los elefantes -- Entienden lo que digo, like, ""Br-r-r!""","I don't know if you've read or heard about the sub-sonic sounds from elephants -- you know what I mean, like, ""Br-r-r!"""
"Hay una revolución in the way that we think, en la manera en que compartimos, and the way that we express nuestras historias, nuestra evolución.","There is a revolution in the way that we think, in the way that we share, and the way that we express our stories, our evolution."
"En resumen: el lenguaje es una collective human creation, que refleja la human nature, cómo conceptualizamos la reality, cómo nos relate to one another.","So to sum up: language is a collective human creation, reflecting human nature, how we conceptualize reality, how we relate to one another."
"""Están pasando plenty of beautiful things. Hay ángeles around America, haciendo great things en las escuelas, farm-to-school set-ups, garden set-ups, education. Hay amazing people que están haciendo esto already.""","There is plenty of beautiful things going on. There are angels around America doing great things in schools -- farm-to-school set-ups, garden set-ups, education -- there are amazing people doing this already."
"Y a los 48, yo era el only outsider ever to participar en esto, y el único en finish it.","And at 48, I was the only outsider ever to go through this, only one to finish it."
