source,target
"sound aise kar raha hai jaise ki ye koi suspense/thriller aur scifi sath me ho, jo ki bahut cool hai. ye bahut confusing hai par enticing bhi hai. yah mujhe uksata hai is dekhne aur figure out karne ke liye.",Sounds like it might be suspense/thriller as well as scifi which is cool. It seems pretty confusing but enticing. Makes me want to see it to try and figure it all out.
kya uska mom eventually ache thie?,Did the mom eventually get better?
muzedar smart aur thought provoking,FUNNY SMART AND THOUGHT PROVOKING
"Ok, bache ke bedroom mein toys animated ho jate hai.interesting laga.","Ok, toys in a kids bedroom that are animated. Sounds interesting."
voh powder scene tho badi scary hein.. muje yakin hi nahi hota ki voh antidote hein,The powder scene was very scary.  I cannot believe they had an antidote.
acha tho is movie kis baare me hein?,Alright that is fine. What is the movie?
isamen koee prasiddh hai?,Anyone  famous in it?
Nixon ne demand ki thi post barred krne ke liye white house se.,Nixon actually demanded that the Post be barred from the White House.
Kya aap Infinity wars ke baare mein excited hain?,Are you excited about infinity wars?
kya aap ko kuch aise nahi laga ki movies mein drug ka usage kuch jaasti tha?,Did you think that the use of drugs in the movie was a bit too much? (the creation of drugs I should say)/
"yeh tho biographical movie ke tarah hein, mark zukerberk ke baare mein hein kya jo facebook create kiya",It appears to be like a biographical movie about Mark Zuckerberg and when he creates Facebook.
"mene bhi ise ya iska preview nahi watch kiya. But ye Scifi he so ye good hona chahiye.oh, Leonardo DiCaprio main character he",I haven't watched it either or seen a preview.  Bu5 it's scifi so it might be good. Ugh Leonardo DiCaprio  is the main character 
"sahi lag raha hai, since Hally mute ki acting kar rahi hai. ye imply karega ki creature bhi kafi smart hai.","That makes perfect sense, since Hally is acting as a mute. That would imply that this creature is quite smart too."
cast ke bare me aap kya sochte ho?,What did you think of the cast?
Sgt. Gordon ke character ke bare mein kya khayaal hai?,What do you think of the character of Sgt. Gordon?
Mujhe bhi aisa hi lagta hai.  Kya hum kar chuke hain? Kya hume kaafi turns submit kar diya?,I think so.  Do you think we are done?  Have we submitted enough turns?
ek samudree jeevavigyaanee aur pulis kisee aur ko chot pahunchaane se pahale usaka shikaar karane kee koshish karatee hai.,A marine biologist and the police try to hunt it before it hurts anyone else.
"mujhe inflated dikh raha, but still dekhna padega","Seemed inflated to me, but I still need to see it"
"team mein, logon ko ""kicks"" set up karna hai ek doosre ko sleep se wake up karne ke liye (kaise mind ke andhar jate hain, main guess karon)","In a team, people have to set up ""kicks"" to wake each other up from sleeping (how they go into a mind, I guess). "
