source,target
"Mujhe lagta hai wo ek acha love interest hai, lekin uski acting just okay hai","I think she was an appropriate love interest, but her acting was just okay."
mujhe pata hai ki maine dekha hai lakin phir bhi wo questions poochne hai :),i know i've watched it but still need to ask those questions :)
ek samudree jeevavigyaanee aur pulis kisee aur ko chot pahunchaane se pahale usaka shikaar karane kee koshish karatee hai.,A marine biologist and the police try to hunt it before it hurts anyone else.
"iski Rotten Tomatoes 92% rating hai, aur isey CinemaScore se A mila. Ye American fantasy drama, ek love story hai.","It has Rotten Tomatoes 92% rating, and got an A from CinemaScore. It is an American fantasy drama, a love story"
"Maine dekhi hai, Ye bahtu funny hai. Carrey bade hilarious hai aur I love Morgan Freeman",I have. It's very funny. Carrey is hilarious and I love Morgan Freeman.
Tom Hanks wo kalakar hai jo The Post too par vi kam kar chuka hai,Exactly. Tom Hanks plays as one of those who works for The Post too.
"Hi,muje movie ke bare me thoda batao please?","HI, tell me a bit about the movie please?"
muje tho uska new powers ka usage bahut pasand aaya jaisa usne us miraculous events ko occur kiya,I like how he uses his new powers to cause such miraculous events to occur at otherwise mundane events'
STRATTON OAKMONT KA FIRM THO RAMPANT CORRUPTION NE ENGAGED KIYA JO FRAUD THA,His firm Stratton Oakmont engaged in rampant corruption and fraud
"ending thodi weird lagi, wo kahte hai ye khatm hua uske apni ex ko friend request bhejte hue jisne ise dump kiya tha.","ending sounds weird, they said it ends with him sending a friend request to his ex who dumped him. ironic."
kafi sochne par bhi mai mujhe koi movie ya book yaad nahi aai jisme isse related story ho jo is itna interesting banati hai. bahut originao concept hai.,I can't think of any other movie or even book that has a related story either which makes it very interesting. A very original concept.
"is movie tho social networking ke baare mein portrays kiya hein yaani facebook website ke tarah. voh tho Justin Timberlake hi hey, muje nahi lagtha ki voh aise act kar saktha hein.","the movie portrays the founding of social networking website Facebook and the resulting lawsuits. It even has Justin Timberlake in it, I don't think I've ever seen him act."
Totally agree!! Morgan Freeman to bomb hai.,Totally totally agree!! Morgan Freeman is the bomb.
Critics sochte hain Ki movie ne Batman key damaged psyche ko explore kiya hai.Tumhe kya lagta hai?,The critics thought that the movie explored Batman's damaged psyche. What do you think?
