source,target,marian_prediction
Beach town ka mayor kuch gadbad type ka aadmi hai kyunki woh beach goers ko beach ke khatron ke baare mein nahi batana chahta.,The mayor of the beach town is kind of the bad guy as he doesn't want to tell the beach goers how dangerous the beach is.,I kind of worther takes it to be a bit he is scared but it is very sad that the guess could not be released of though.
"Firstly, Rotten Tomatoes par ise great reviews mile ! ye ek former human ke bare me he jo apni wife ki death ka revenge lene ke liye criminal underworld me lotata he.","Firstly, it received great reviews on Rotten Tomatoes! And it's about a former human who returns to the criminal underworld to extract revenge following the death of his wife!","Rotten Tomatoes but very great reviews! It's a bit weird to see you revenge at the same time, but then way I reriminally seeminal for their conversation"
mujhe yeh bhi laga ki yeh bohot unfair tha jo bogo ne usse resignation maanga kyu wo abhi nayi thi force me,I also thought it was super unfair of Bogo to request her resignation so quickly. She was still new to the force.,I think it also really sad the unfair that bogo enough in a review!
kya tumhe lagta ki judy ne Nick ko jo record kia wo ethical tha?,Do you think Judy recording Nick was an ethical decision?,Do you think that the gudy actor thought he was ethical?
kya tumhe maloom he ki isne koi award win kiya he?,Do you know if it won any awards?,What did you think about award?
"lekin kuch logon ke paas subconsciousness mein defenses hain, aur team attack hota hai bande ke mind mein.","But some people have defenses in their subconsciousness, and the team gets attacked in one guy's mind.","But some people find it to be more interesting in a subconscious character, and some find it to be at a given time."
"atleast,yeh zoo animal hein, jo koi pasand karega",At least this zoo animal had someone who loved it.,"at the same time, he is animal, but yeah I am not sure"
kaun kaunse actors hain is movie mein.,Who are the actors in the movie?,The actors say it is a movie.
Oh mujhe pehle se hi doubt tha but film ne sach mein hold krke rakha.,"O had my doubts about it at first, but the film really holds up",I thought the doubt was good but the film had a drke in it.
mein bhi maantha hoon... voh apni emotions ache tarah hold karti.. lekin dhoda dull lagi,I agree. It seems like she holds back on her emotions. Very dull,I was also really emotions. But the dhough was just a little.
Iske bare me mujhe bolne do. Ye key scenes la rehi hai,Let me tell you about it. It's bringing up key scenes.,I do the bolne. It is scenes really good.
Hi dunkirk movie kee ek bahut hee anokhee kahaanee hai.,Hi: The movie dunkirk has a very unique back story.,Hi there! The movie is a very much a Friends style.
"Elsa queen bani hoti hein, lekin voh apni powers ke baare mein logon ko patha nahi chalna chahiye ke dar bahut tha. jab castle party mein uska choti bahen Anna ko us visiting dignitary ke saath love hotha hein, jo use propose kartha hein, elsa neh toh no bole aur apni power ko saare logon ke saamne dekha dethi hein","Elsa eventually becomes queen, but she's terrified that people will find out about her powers and be afraid of her. They have a castle party, and the younger sister--Anna--falls in love with a visiting dignitary, who proposes to her. Elsa says, ""No"" and loses control of her powers in front of everyone.","Elsa interesting with her powers, she also such a way of surrounding her new sister with them, though. When they cast they had a real, she sister--An"
Oh cool. Me use jaanta hun. Wo kai movies me thi aur wo great hai.,"Oh, cool. I am familiar with her. She's in a number of good movies and is great.",I agree. He is great in movies and he is great.
"hi, kaise hein aaj aap?","Hi, how are you today?","Hi, how are you doing?"
yah bhayaanak lagata hai!,That sounds terrifying!,That sounds a little!
"ye tho inception, suna hi kya?","its called inception, hear of it?","Hey, how are you doing?"
aur jim carrey ne kahi saare bombed kiya.. lekin voh usske outdid apne movie mein di,And Jim Carrey has bombed in so many. But he outdid himself in this movie.,And that was bombed in the movie. But he knews his sked out a movie.
muje lagtha ki yeh football player ke baare mein hein,I think I know the football player it was based on,It seems like it was a footall player
Maine Morgan Freeman ko bhi enjoy kiya but woh apne sab hi works mein amazing hai.,I enjoyed Morgan Freeman also but he is amazing in all of his work.,I enjoyed in enjoyed Miorgan Freeman but he was amazing in a high jobs.
muje pasand nahi kyon ki voh itna embarrases huva apni co worker ke saath aur same time us evan ka character tho bakvas tha,I don't like how he embarrases his other co worker but at the same time the character Evan was such an ass.,I don't like how he embarrases his other co worker and how he works in an Evan character.
Comedies bahut cliche lagti hain aur aisi koi bhi nahi dikhti that I have favored in awhile.,Comedies seem to be very cliche and there does not seem to be one that I have favored in awhile.,It seems like that and don't seems like that I have favored in a While.
"ok, thank you.","ok, thank you.","Okay, than you."
Don Rickles Mr pototo head hai,A Mr pototo head is Don Rickles,Don Rickles is the potoes
Uska ek Buzz naam ka bhai hai jisse Kevin ki banti nahi hai kyunki Buzz ke saath ek altercation ke baad usko third floor par bhej diya gaya tha the night before they left for paris,he has a brother named Buzz who Kevin is not a fan of since he was sent to the third floor after an altercation with Buzz the night before they left for paris,He is the leader of a Buzz not only because he was alter but he was alter but at the same time a good movie to him
yeh itna lonely life lagta hai.,It seems like such a lonely life.,This is a good beginning.
par sahi me mai samajta hu cinema ki numbar or kafi aacha jata hei Rotten Tomatoes par,"for sure, I think the score on this movie looks really good on Rotten Tomatoes",but I also really like the cinema that has a very Rotten Tomatoes either.
Hmm interesting. Kya tum jaante ho ki ye ek action movie hai ya mostly sirf scifi?,Hmm interesting. Do you know if it's an action movie or mostly just scifi?,Hmm interesting. Do you know that it is a action mostly a scifiing?
Well mujhe lagta hai saare actors ne fabulous kaam kiya and the three main actors are all very good actors.,Well I think the actors all did a fabulous job and the three main actors are all very good actors.,"Well, the actors did a fabulous job and the three main actors are all good actors."
John Wick se me kya expect kar sakta hu,What can I expect from John Wick,What were the expct of John Wick
Thor ki third movie ke baad i love him more. Mera favourite captain america hai. Wo mujhe bahut interesting character laga.,Love thor even more now after his third movie. My favorite is captain america. Hes the most interesting character to me,That's very love for the movie. My favorite captain is america. He seems to be very interesting character.
"use Ariadne ki bhumika play ki, wo ek graduate student hai jo ki dreamscapes construct karti hai, Wo mazes jaise hote hai.","She plays Ariadne , she is a graduate student that constructs the dreamscapes, they're like mazes.","Well, he has a grad stuend that dreams construct so he is construting."
"oh, mein woddy's gf ko find ki, uska naam sally hein",Oh I found Woddy's GF She is called Sally,"Oh, I guy's gfieve, her neam interesting"
Hai kya?,Is it?,Yes?
