source,target,eng_ratio,marian_prediction
"RB: Bueno, me gusta pensar que representa quality, que, you know, if alguien se topa con una Virgin company, they -- CA: They are quality, Richard. Come on now, todo el mundo habla de quality --¿el spirit?","RB: Well, I like to think it stands for quality, that you know, if somebody comes across a Virgin company, they -- CA: They are quality, Richard. Come on now, everyone says quality. Spirit?",0.3809523809523809,"RB: Well, I like to think that it represents quality, that, you know, if someone faces a Virgin company, they -- CA: They are quality, Richard. Come on now, you"
"Presentamos más de 300 muestras de mushrooms que fueron hervidos in hot water, y el micelio harvesting estos extracellular metabolites.","We submitted over 300 samples of mushrooms that were boiled in hot water, and mycelium harvesting these extracellular metabolites.",0.45,"We present more than 300 mushrooms of mushrooms that were hevid in hot water, and the micelio harvesting these extracellular metaboltes."
Tenemos algo called the Genome 100 -- 100 individuos we're sequencing como parte de that.,We have something called the Genome 100 -- 100 individuals we're sequencing as part of that.,0.4666666666666667,We have thing streetd the Genome 100 -- 100 individuals we're sequencing a part of that.
Murphy Brown tuvo que vérselas con un vice president when she asumió la idea de single parenthood.,Murphy Brown took on a vice president when she took on the idea of single parenthood.,0.4117647058823529,Murphy Brown had to verge them with a vice president when she saved the idea of single parenthood.
"Eran hombres que habían sido contractors, o que habían been building houses, y que habían lost their jobs después del housing boom y estaban en este grupo because they were failing to pay their child support.","They were men who had been contractors, or they had been building houses and they had lost their jobs after the housing boom, and they were in this group because they were failing to pay their child support.",0.5833333333333334,"There are mans that had ben contractors, or that had been building houses, and that had thest their jobs after the housing boom, and there in this group because they were"
"Sin embargo, recientemente this RISD opportunity kind of arose -- para ir a RISD -- y no pude reconcile this real easy, porque las letras me habían dicho, MIT forever.","However, recently this RISD opportunity kind of arose -- going to RISD -- and I couldn't reconcile this real easy, because the letters had told me, MIT forever.",0.5333333333333333,"Sorely this RISD opportunity kind of arose -- to go to RISD -- and I wouldn't reconcile this real easy, cos the letters had said to me, MIT forever."
"Y obtuvimos, de nuevo, about three to six times más stem cells que con el procedimiento standard en el mismo paciente.","And we got, again, about three to six times more stem cells than the standard approach done on the same patient.",0.4761904761904761,"And we getted, are, about three to six times more stem cells that with the standard procedure in the same patient."
"Creo que esta es, I think, una imagen muy illustrative of what I try to say: que la hermosa dinámica del sol, bringing these into the building, crea una quality in nuestro entorno construido que truly enhances nuestras vidas.","This is, I think, a very illustrative image of what I try to say -- that the beautiful dynamics of sun, bringing these into the building, creates a quality of our built environment that truly enhances our lives.",0.475,"I think this is, I think, a muy illustrative image of what I try to say: that the beauteful dynamics of the sun, bringing these into the building, builds a quality in our"
"♫ Has sido tan kind and generous, ♫ ♫ No sé cómo keep on giving. ♫ ♫ Y por tu kindness ♫ ♫ I'm in debt to you ♫ ♫ Y never could have come this far sin ti ♫ ♫ Así que por todo lo realizado ♫ ♫ you know I'm bound ♫ ♫ I'm bound to thank you for it ♫ ♫ La le la la li la la la ♫ ♫ La le la la li la la la ♫ ♫ La le la la la ♫ ♫ La le la la la la ♫ ♫ La le la la li la la la ♫ ♫ La le la la li la li la la la ♫ ♫ La le la la la ♫ ♫ Oh, quiero agradecerte por so many gifts ♫ ♫ you gave in love with tenderness ♫ ♫ Thank you ♫ ♫ Quiero agradecerte por your generosity ♫ ♫ the love and the honesty que me diste ♫ ♫ quiero agradecerte show my gratitude, my love ♫ ♫ y mi respeto for you ♫ ♫ quiero agradecerte, thank you ♫ ♫ Gracias, thank you ♫ ♫ Gracias, thank you ♫ ♫ Gracias, thank you ♫ ♫ Quiero agradecerte, thank you ♫ ♫ Gracias, thank you ♫ ¿Saben qué?","♫ Now, you've been so kind and generous, ♫ ♫ I don't know how you keep on giving. ♫ ♫ And for your kindness I'm in debt to you. ♫ ♫ And I never could have come this far without you. ♫ ♫ So for everything you've done, you know I'm bound ♫ ♫ I'm bound to thank you for it ♫ ♫ La li la la li la la la ♫ ♫ La li la la li la la la ♫ ♫ La li la la la ♫ ♫ La li la la la la ♫ ♫ La li la la li la la la ♫ ♫ La li la la li la li la la la ♫ ♫ La li la la la ♫ ♫ Oh, I want to thank you for so many gifts ♫ ♫ You gave in love with tenderness ♫ ♫ Thank you ♫ ♫ I want to thank you for your generosity ♫ ♫ the love and the honesty that you gave me ♫ ♫ I want to thank you show my gratitude, ♫ My love and my respect for you ♫ ♫ I want to thank you, thank you ♫ ♫ Thank you, thank you ♫ ♫ Thank you, thank you ♫ ♫ Thank you, thank you ♫ ♫ I want to thank you, thank you ♫ ♫ Thank you, thank you ♫ You know what?",0.3317972350230415,"♫ You've been so kind and generous, ♫ ♫ I don't know how keep on giving. ♫ ♫ And by your kindness ♫ ♫ I'm in debt to you ♫ ♫"
"La belleza del hidrogeno es que se puede obtener desde muchas different sources: puede venir de fossil fuels, puede venir de cualquier way que puede create electricity, incluyendo renewables.","The beauty of hydrogen is it can come from so many different sources: it can come from fossil fuels, it can come from any way that you can create electricity, including renewables.",0.3,"The beauty of the hydrogen is that it can be getted from so many different sources: it can come from fossil fuels, it can come from any way that can create electricity, including renewables."
"Ahora, parte de mi trabajo es sentar realmente las bases para integrate urban ag y rural food systems para acelerar el final de la ensalada de 4800 km [de transporte] creando una national brand of urban-grown produce que en cada ciudad use el regional growing power y lo complemente con indoor growing facilities, de propiedad y manejada por small growers, donde ahora solamente hay consumers.","Part of my work now is really laying the groundwork to integrate urban ag and rural food systems to hasten the demise of the 3,000-mile salad by creating a national brand of urban-grown produce in every city, that uses regional growing power and augments it with indoor growing facilities, owned and operated by small growers, where now there are only consumers.",0.373134328358209,"Now, part of my work is to really set the bases for inte urban ag and rural food systems to accelerate the end of the 4800 km [transportation] Salad by creating a national brand of"
"""Los niños, cuando crecemos, tenemos sueños, y tenemos pasiones y tenemos visiones, y somehow we get those things crushed.""","Kids, when we grow up, have dreams, and we have passions, and we have visions, and somehow we get those things crushed.",0.2857142857142857,"The boys, when we grope, we have dreams, and we have passiones, and we have visions, and somehow we get those things Crushed."
"Y el drama es, of course, que when the system does this, la lógica may change.","And the drama is, of course, that when the system does this, the logic may change.",0.5625,"And the drama is, of course, when the system does this, the logic may change."
"Desde el 11 de septiembre, cuando mi trabajo sobre el Islam suddenly propelled me into public life, como jamás habría imaginado, I've been able to viajar alrededor del mundo y see, en todos los sitios, a yearning for change.","Since September the 11th, when my work on Islam suddenly propelled me into public life, in a way that I'd never imagined, I've been able to sort of go all over the world, and finding, everywhere I go, a yearning for change.",0.5128205128205128,"Ever since the 11th of september, when my work on Islam suddenly propelled me into public life, as I'd never imagined, I've been able to roam the world and see, to y"
"Como he dicho, acabo de regresar a la escuela, y estoy considerando especializarme en urban studies luego continuar con urban planning, a modo de tomar whatever I've learned de online communities y tratar de adaptarlo a a physical community.","As I said, I just went back to school, and I am considering majoring in urban studies and then going on to urban planning, kind of taking whatever I've learned from online communities and trying to adapt that to a physical community.",0.4615384615384615,"As I said, I've just come back to the school, and I'm considering to specialize in urban studies then continue with urban planning, how to take whatever I've learned from online communities and"
"Y su supervivencia infantil es aún de 70 a 80%, meaning that if you have seis hijos, there will be at least cuatro who survive to the siguiente generación.","And they still have a child survival of only 70 to 80 percent, meaning that if you have six children born, there will be at least four who survive to the next generation.",0.4838709677419355,"And her child survival is still 70 to 80%, meaning that if you have six sons, there will be at least cuse who survive to the next geny."
"Me gusta ""climate crisis"" en vez de ""climate collapse,"" pero again, those of you que son buenos en branding, necesito your help en esto.","I like ""climate crisis"" instead of ""climate collapse,"" but again, those of you who are good at branding, I need your help on this.",0.5357142857142857,"I like ""climate crisis"" instead of ""climate collapse,"" but again, those of you that's good in brading, I need your help in this."
"Hace unos años, el gran historiador Arnold Toynbee said that el mundo was suffering a gigantesca crisis de espiritualidad.","A few years ago, historian Arnold Toynbee said that the world was suffering a huge spiritual crisis.",0.2631578947368421,"A few years back, the Great Historian Arnold Toynbee said that the world was suffering a mammoth crisis of spirituality."
"Así que en tres años, de 2003 a 2006, pudimos poner en marcha la norma que realmente cambió el paradigma de how fishers went about deep-sea bottom trawling.","So within three years, from 2003 to 2006, we were able to get norm in place that actually changed the paradigm of how fishers went about deep-sea bottom trawling.",0.4285714285714285,"So in three years, from 2003 to 2006, we would get the norm that actually would shape the how fishers went about deep-sea bottom trawling."
